country,activity,time_spent,women_to_men,continent
Australia,Unpaid work,243.16887,1.812398354901748,Oceania
Austria,Unpaid work,202,1.9896961162221676,Europe
Belgium,Unpaid work,191.82016,1.6461056549111557,Europe
Canada,Unpaid work,186,1.509785241304571,North America
Denmark,Unpaid work,216.62733,1.3044688595569436,Europe
Finland,Unpaid work,196.87715,1.4972825058432062,Europe
France,Unpaid work,181.09856,1.6602324227644325,Europe
Germany,Unpaid work,195.93103,1.6105507065949596,Europe
Greece,Unpaid work,180.20116,2.7289688338560496,Europe
Hungary,Unpaid work,229.15895,1.809568990714302,Europe
Ireland,Unpaid work,209.64148,2.3036112906039348,Europe
Italy,Unpaid work,219.03874,2.3436475133129653,Europe
Japan,Unpaid work,132.01698,5.502036092424523,Asia
South Korea,Unpaid work,131.70642,4.388431563030647,Asia
Mexico,Unpaid work,263.88788,2.5208704632397,North America
Netherlands,Unpaid work,185.56139,1.546903056154274,Europe
New Zealand,Unpaid work,204,1.872340425531915,Oceania
Norway,Unpaid work,195.98425,1.3497183223815448,Europe
Poland,Unpaid work,225.9187,1.8579367992900486,Europe
Portugal,Unpaid work,222.54546,3.4087678939019006,Europe
Spain,Unpaid work,216.72911,1.9815588202316343,Europe
Sweden,Unpaid work,196.49918,1.2874437426900585,Europe
Turkey,Unpaid work,186.08949,4.513087073248126,Asia
United Kingdom,Unpaid work,194.52788,1.7749078752557437,Europe
United States,Unpaid work,219.21774,1.6357790561548975,North America
China,Unpaid work,163.88618,2.5714285714285716,Asia
Estonia,Unpaid work,207.68231,1.5559865385135285,Europe
India,Unpaid work,191.14615,6.798417037554366,Asia
Latvia,Unpaid work,196.07454,1.9522097575753372,Europe
Slovenia,Unpaid work,230.67961,1.7192997337536884,Europe
South Africa,Unpaid work,182.28479,2.4246210916469675,Africa
Australia,Personal care,657.45654,1.0257921575971622,Oceania
Austria,Personal care,632,1.0275196023444353,Europe
Belgium,Personal care,664.04633,1.0446286175811748,Europe
Canada,Personal care,636.57739,1.0498322058142393,North America
Denmark,Personal care,659.35931,1.0471806949212406,Europe
